street_number,route,locality-political,administrative_area_level_2-political,administrative_area_level_1-political,country-political,postal_code,address,longitude,latitude,neighborhood-political,postal_code_suffix,establishment-point_of_interest-transit_station,establishment-park-point_of_interest,premise,establishment-point_of_interest-subway_station-transit_station,airport-establishment-finance-moving_company-point_of_interest-storage,subpremise,bus_station-establishment-point_of_interest-transit_station,establishment-park-point_of_interest-tourist_attraction,establishment-natural_feature,airport-establishment-point_of_interest,political-sublocality-sublocality_level_1,administrative_area_level_3-political,post_box,establishment-light_rail_station-point_of_interest-transit_station,establishment-point_of_interest,aquarium-establishment-park-point_of_interest-tourist_attraction-zoo,campground-establishment-lodging-park-point_of_interest-rv_park-tourist_attraction,cemetery-establishment-park-point_of_interest
1447,Browning Avenue,Clovis,Fresno County,California,United States,93611,"1447 Browning Ave, Clovis, CA 93611, USA",-119.69,36.82,,2010,,,,,,,,,,,,,,,,,,
1445,Shaw Avenue,Clovis,Fresno County,California,United States,93611,"1445 Shaw Ave, Clovis, CA 93611, USA",-119.69,36.81,,,,,,,,,,,,,,,,,,,,
2862,Laverne Avenue,Clovis,Fresno County,California,United States,93611,"2862 Laverne Ave, Clovis, CA 93611, USA",-119.68,36.8,,5250,,,,,,,,,,,,,,,,,,
1426,Donner Avenue,Clovis,Fresno County,California,United States,93611,"1426 Donner Ave, Clovis, CA 93611, USA",-119.69,36.8,,4551,,,,,,,,,,,,,,,,,,
2841,Holly Avenue,Clovis,Fresno County,California,United States,93611,"2841 Holly Ave, Clovis, CA 93611, USA",-119.67,36.8,,6024,,,,,,,,,,,,,,,,,,
3436,Miami Avenue,Clovis,Fresno County,California,United States,93611,"3436 Miami Ave, Clovis, CA 93611, USA",-119.69,36.79,,5129,,,,,,,,,,,,,,,,,,
6070,East Sussex Way,Fresno,Fresno County,California,United States,93727,"6070 E Sussex Way, Fresno, CA 93727, USA",-119.68,36.79,,7982,,,,,,,,,,,,,,,,,,
5827,East Clinton Avenue,Fresno,Fresno County,California,United States,93727,"5827 E Clinton Ave, Fresno, CA 93727, USA",-119.69,36.77,McLane,1312,,,,,,,,,,,,,,,,,,
2342,North Fowler Avenue,Fresno,Fresno County,California,United States,93727,"2342 N Fowler Ave, Fresno, CA 93727, USA",-119.68,36.77,McLane,1703,,,,,,,,,,,,,,,,,,
7828,Leonard Avenue,Clovis,Fresno County,California,United States,93619,"7828 Leonard Ave, Clovis, CA 93619, USA",-119.64,36.85,,,,,,,,,,,,,,,,,,,,
811,Leonard Avenue,Clovis,Fresno County,California,United States,93619,"811 Leonard Ave, Clovis, CA 93619, USA",-119.64,36.82,Loma Vista,9202,,,,,,,,,,,,,,,,,,
4115,Griffith Avenue,Clovis,Fresno County,California,United States,93619,"4115 Griffith Ave, Clovis, CA 93619, USA",-119.63,36.79,Loma Vista,,,,,,,,,,,,,,,,,,,
1624,North Fancher Avenue,Fresno,Fresno County,California,United States,93737,"1624 N Fancher Ave, Fresno, CA 93737, USA",-119.63,36.76,Southeast Growth Area,9739,,,,,,,,,,,,,,,,,,
2495,South Highland Avenue,Sanger,Fresno County,California,United States,93657,"2495 S Highland Ave, Sanger, CA 93657, USA",-119.63,36.7,,,,,,,,,,,,,,,,,,,,
14254,East Shields Avenue,Sanger,Fresno County,California,United States,93657,"14254 E Shields Ave, Sanger, CA 93657, USA",-119.53,36.78,,9692,,,,,,,,,,,,,,,,,,
11644,East Sierra Avenue,Clovis,Fresno County,California,United States,93619,"11644 E Sierra Ave, Clovis, CA 93619, USA",-119.58,36.83,,,,,,,,,,,,,,,,,,,,
11476,East McKinley Avenue,Sanger,Fresno County,California,United States,93657,"11476 E McKinley Ave, Sanger, CA 93657, USA",-119.58,36.77,,9454,,,,,,,,,,,,,,,,,,
11107,East California Avenue,Sanger,Fresno County,California,United States,93657,"11107 E California Ave, Sanger, CA 93657, USA",-119.59,36.72,,9734,,,,,,,,,,,,,,,,,,
339,North Oliver Avenue,Sanger,Fresno County,California,United States,93657,"339 N Oliver Ave, Sanger, CA 93657, USA",-119.5,36.74,,9603,,,,,,,,,,,,,,,,,,
111,South Fairbanks Avenue,Sanger,Fresno County,California,United States,93657,"111 S Fairbanks Ave, Sanger, CA 93657, USA",-119.57,36.72,,,,,,,,,,,,,,,,,,,,
403,O Street,Sanger,Fresno County,California,United States,93657,"403 O St, Sanger, CA 93657, USA",-119.56,36.71,,,,,,,,,,,,,,,,,,,,
2373,4th Street,Sanger,Fresno County,California,United States,93657,"2373 4th St, Sanger, CA 93657, USA",-119.57,36.71,,2259,,,,,,,,,,,,,,,,,,
2312,Magnolia Court,Sanger,Fresno County,California,United States,93657,"2312 Magnolia Ct, Sanger, CA 93657, USA",-119.57,36.7,,2968,,,,,,,,,,,,,,,,,,
1202,12th Street,Sanger,Fresno County,California,United States,93657,"1202 12th St, Sanger, CA 93657, USA",-119.56,36.7,,3052,,,,,,,,,,,,,,,,,,
1150,K Street,Sanger,Fresno County,California,United States,93657,"1150 K St, Sanger, CA 93657, USA",-119.55,36.7,,,,,,,,,,,,,,,,,,,,
3192,South Indianola Avenue,Sanger,Fresno County,California,United States,93657,"3192 S Indianola Ave, Sanger, CA 93657, USA",-119.58,36.69,,9716,,,,,,,,,,,,,,,,,,
1913,Industrial Way,Sanger,Fresno County,California,United States,93657,"1913 Industrial Way, Sanger, CA 93657, USA",-119.55,36.69,,,,,,,,,,,,,,,,,,,,
2451,South Lewis Lane,Sanger,Fresno County,California,United States,93657,"2451 S Lewis Ln, Sanger, CA 93657, USA",-119.54,36.7,,9513,,,,,,,,,,,,,,,,,,
914,5th Street,Sanger,Fresno County,California,United States,93657,"914 5th St, Sanger, CA 93657, USA",-119.55,36.71,,2571,,,,,,,,,,,,,,,,,,
13280,East California Avenue,Sanger,Fresno County,California,United States,93657,"13280 E California Ave, Sanger, CA 93657, USA",-119.55,36.72,,,,,,,,,,,,,,,,,,,,
1668,South Riverbend Avenue,Sanger,Fresno County,California,United States,93657,"1668 S Riverbend Ave, Sanger, CA 93657, USA",-119.52,36.71,,9520,,,,,,,,,,,,,,,,,,
3137,South Reed Avenue,Sanger,Fresno County,California,United States,93657,"3137 S Reed Ave, Sanger, CA 93657, USA",-119.47,36.69,,9526,,,,,,,,,,,,,,,,,,
3649,Usry Avenue,Reedley,Fresno County,California,United States,93654,"3649 Usry Ave, Reedley, CA 93654, USA",-119.41,36.68,,9740,,,,,,,,,,,,,,,,,,
7232,South Buttonwillow Avenue,Reedley,Fresno County,California,United States,93654,"7232 S Buttonwillow Ave, Reedley, CA 93654, USA",-119.43,36.63,,9632,,,,,,,,,,,,,,,,,,
22234,Clayton Avenue,Reedley,Fresno County,California,United States,93654,"22234 Clayton Ave, Reedley, CA 93654, USA",-119.39,36.64,,9543,,,,,,,,,,,,,,,,,,
21692,East Dinuba Avenue,Reedley,Fresno County,California,United States,93654,"21692 E Dinuba Ave, Reedley, CA 93654, USA",-119.4,36.59,,9522,,,,,,,,,,,,,,,,,,
,Mountaintop Ranch Road,Auberry,Fresno County,California,United States,93602,"Mountaintop Ranch Rd, Auberry, CA 93602, USA",-119.49,37.1,,,,,,,,,,,,,,,,,,,,
,Unnamed Road,Clovis,Fresno County,California,United States,93619,"Unnamed Road, Clovis, CA 93619, USA",-119.61,36.94,,,,,,,,,,,,,,,,,,,,
26005,Wellbarn Road,Clovis,Fresno County,California,United States,93619,"26005 Wellbarn Rd, Clovis, CA 93619, USA",-119.57,37.02,,,,,,,,,,,,,,,,,,,,
,Black Mountain Road,Tollhouse,Fresno County,California,United States,93667,"Black Mountain Rd, Tollhouse, CA 93667, USA",-119.48,37.0,,,,,,,,,,,,,,,,,,,,
224647,Pittman Hill Road,Clovis,Fresno County,California,United States,93619,"224647 Pittman Hill Rd, Clovis, CA 93619, USA",-119.46,36.91,,,,,,,,,,,,,,,,,,,,
,Hog Mountain Fire Road,Tollhouse,Fresno County,California,United States,93667,"Hog Mountain Fire Rd, Tollhouse, CA 93667, USA",-119.33,36.89,,,,,,,,,,,,,,,,,,,,
60198,Jeffery Pine Lane,Lakeshore,Fresno County,California,United States,93634,"60198 Jeffery Pine Ln, Lakeshore, CA 93634, USA",-119.21,37.25,,,,,,,,,,,,,,,,,,,,
,,Shaver Lake,,California,United States,93664,"Shaver Lake, CA 93664, USA",-118.94,37.13,,,,,,,,,,,,,,,,,,,,
41020,Acorn Road,Auberry,Fresno County,California,United States,93602,"41020 Acorn Rd, Auberry, CA 93602, USA",-119.4,37.09,,,,,,,,,,,,,,,,,,,,
,Camp-Edison Road,Auberry,Fresno County,California,United States,93602,"Camp-Edison Rd, Auberry, CA 93602, USA",-119.34,37.12,,,,,,,,,,,,,,,,,,,,
,Fishing Club Road,Shaver Lake,Fresno County,California,United States,93664,"Fishing Club Road, Shaver Lake, CA 93664, USA",-119.28,37.11,,,,,,,,,,,,,,,,,,,,
,Wild Iris Lane,Shaver Lake,Fresno County,California,United States,93664,"Wild Iris Ln, Shaver Lake, CA 93664, USA",-119.32,37.06,,,,,,,,,,,,,,,,,,,,
,Hume Lake Trail,Hume,Fresno County,California,United States,93628,"Hume Lake Trail, Hume, CA 93628, USA",-118.91,36.79,,,,,,,,,,,,,,,,,,,,
,,Sanger,Fresno County,California,United States,93657,"Sanger, CA 93657, USA",-119.24,36.8,,,,,,,,,,,,,,,,,,,,
32747,Antelope Lane,Squaw Valley,Fresno County,California,United States,93675,"32747 Antelope Ln, Squaw Valley, CA 93675, USA",-119.25,36.71,,9716,,,,,,,,,,,,,,,,,,
46596,Chuckwagon Road,Squaw Valley,Fresno County,California,United States,93675,"46596 Chuckwagon Rd, Squaw Valley, CA 93675, USA",-119.12,36.69,,,,,,,,,,,,,,,,,,,,
7783,Hill Avenue,Orange Cove,Fresno County,California,United States,93646,"7783 Hill Ave, Orange Cove, CA 93646, USA",-119.34,36.62,,9425,,,,,,,,,,,,,,,,,,
401,B Street,Orange Cove,Fresno County,California,United States,93646,"401 B St, Orange Cove, CA 93646, USA",-119.31,36.63,,2142,,,,,,,,,,,,,,,,,,
920,5th Street,Orange Cove,Fresno County,California,United States,93646,"920 5th St, Orange Cove, CA 93646, USA",-119.31,36.62,,2424,,,,,,,,,,,,,,,,,,
908,12th Street,Orange Cove,Fresno County,California,United States,93646,"908 12th St, Orange Cove, CA 93646, USA",-119.32,36.62,,2325,,,,,,,,,,,,,,,,,,
8658,South Buttonwillow Avenue,Reedley,Fresno County,California,United States,93654,"8658 S Buttonwillow Ave, Reedley, CA 93654, USA",-119.43,36.61,,,,,,,,,,,,,,,,,,,,
918,East Santa Rosa Street,Reedley,Fresno County,California,United States,93654,"918 E Santa Rosa St, Reedley, CA 93654, USA",-119.44,36.6,,2557,,,,,,,,,,,,,,,,,,
914,E Street,Reedley,Fresno County,California,United States,93654,"914 E St, Reedley, CA 93654, USA",-119.45,36.6,,2614,,,,,,,,,,,,,,,,,,
,Unnamed Road,Reedley,Fresno County,California,United States,93654,"Unnamed Road, Reedley, CA 93654, USA",-119.46,36.61,,,,,,,,,,,,,,,,,,,,
196,West Carob Avenue,Reedley,Fresno County,California,United States,93654,"196 W Carob Ave, Reedley, CA 93654, USA",-119.45,36.61,,2157,,,,,,,,,,,,,,,,,,
8565,South Columbia Avenue,Reedley,Fresno County,California,United States,93654,"8565 S Columbia Ave, Reedley, CA 93654, USA",-119.44,36.61,,9706,,,,,,,,,,,,,,,,,,
1754,East Dinuba Avenue,Reedley,Fresno County,California,United States,93654,"1754 E Dinuba Ave, Reedley, CA 93654, USA",-119.43,36.59,,,,,,,,,,,,,,,,,,,,
864,East Dinuba Avenue,Reedley,Fresno County,California,United States,93654,"864 E Dinuba Ave, Reedley, CA 93654, USA",-119.44,36.59,,3537,,,,,,,,,,,,,,,,,,
555,I Street,Reedley,Fresno County,California,United States,93654,"555 I St, Reedley, CA 93654, USA",-119.46,36.6,,2431,,,,,,,,,,,,,,,,,,
210,West Dinuba Avenue,Reedley,Fresno County,California,United States,93654,"210 W Dinuba Ave, Reedley, CA 93654, USA",-119.45,36.59,,3815,,,,,,,,,,,,,,,,,,
10634,South East Avenue,Reedley,Fresno County,California,United States,93654,"10634 S East Ave, Reedley, CA 93654, USA",-119.44,36.58,,9501,,,,,,,,,,,,,,,,,,
1977,South Frankwood Avenue,Reedley,Fresno County,California,United States,93654,"1977 S Frankwood Ave, Reedley, CA 93654, USA",-119.45,36.58,,3981,,,,,,,,,,,,,,,,,,
13458,East Industrial Drive,Parlier,Fresno County,California,United States,93648,"13458 E Industrial Dr, Parlier, CA 93648, USA",-119.55,36.6,,9678,,,,,,,,,,,,,,,,,,
13760,East Ann Avenue,Parlier,Fresno County,California,United States,93648,"13760 E Ann Ave, Parlier, CA 93648, USA",-119.54,36.61,,2804,,,,,,,,,,,,,,,,,,
13347,East Ann Avenue,Parlier,Fresno County,California,United States,93648,"13347 E Ann Ave, Parlier, CA 93648, USA",-119.55,36.61,,2203,,,,,,,,,,,,,,,,,,
16020,East South Avenue,Parlier,Fresno County,California,United States,93648,"16020 E South Ave, Parlier, CA 93648, USA",-119.5,36.62,,9711,,,,,,,,,,,,,,,,,,
16652,East Floral Avenue,Reedley,Fresno County,California,United States,93654,"16652 E Floral Ave, Reedley, CA 93654, USA",-119.49,36.58,,,,,,,,,,,,,,,,,,,,
300,Tulare Street,Parlier,Fresno County,California,United States,93648,"300 Tulare St, Parlier, CA 93648, USA",-119.52,36.61,,,,,,,,,,,,,,,,,,,,
830,Tulare Street,Parlier,Fresno County,California,United States,93648,"830 Tulare St, Parlier, CA 93648, USA",-119.53,36.61,,2401,,,,,,,,,,,,,,,,,,
10591,East American Avenue,Del Rey,Fresno County,California,United States,93616,"10591 E American Ave, Del Rey, CA 93616, USA",-119.6,36.66,,9703,,,,,,,,,,,,,,,,,,
11231,East Clayton Avenue,Del Rey,Fresno County,California,United States,93616,"11231 E Clayton Ave, Del Rey, CA 93616, USA",-119.59,36.64,,9729,,,,,,,,,,,,,,,,,,
14293,East Fantz Avenue,Parlier,Fresno County,California,United States,93648,"14293 E Fantz Ave, Parlier, CA 93648, USA",-119.53,36.65,,9611,,,,,,,,,,,,,,,,,,
8849,Manning Avenue,Selma,Fresno County,California,United States,93662,"8849 Manning Ave, Selma, CA 93662, USA",-119.63,36.6,,,,,,,,,,,,,,,,,,,,
3063,Thompson Avenue,Selma,Fresno County,California,United States,93662,"3063 Thompson Ave, Selma, CA 93662, USA",-119.62,36.58,,2401,,,,,,,,,,,,,,,,,,
11369,South Amber Avenue,Selma,Fresno County,California,United States,93662,"11369 S Amber Ave, Selma, CA 93662, USA",-119.59,36.57,,9731,,,,,,,,,,,,,,,,,,
3119,Orange Avenue,Selma,Fresno County,California,United States,93662,"3119 Orange Ave, Selma, CA 93662, USA",-119.6,36.58,,2510,,,,,,,,,,,,,,,,,,
1910,Aspen Street,Selma,Fresno County,California,United States,93662,"1910 Aspen St, Selma, CA 93662, USA",-119.61,36.58,,4149,,,,,,,,,,,,,,,,,,
3823,Thompson Avenue,Selma,Fresno County,California,United States,93662,"3823 Thompson Ave, Selma, CA 93662, USA",-119.62,36.59,,2176,,,,,,,,,,,,,,,,,,
3840,McCall Avenue,Selma,Fresno County,California,United States,93662,"3840 McCall Ave, Selma, CA 93662, USA",-119.61,36.59,,,,,,,,,,,,,,,,,,,,
1233,Redwood Lane,Selma,Fresno County,California,United States,93662,"1233 Redwood Ln, Selma, CA 93662, USA",-119.6,36.57,,3225,,,,,,,,,,,,,,,,,,
2440,McCall Avenue,Selma,Fresno County,California,United States,93662,"2440 McCall Ave, Selma, CA 93662, USA",-119.61,36.57,,3181,,,,,,,,,,,,,,,,,,
3175,Highland Avenue,Selma,Fresno County,California,United States,93662,"3175 Highland Ave, Selma, CA 93662, USA",-119.63,36.58,,,,,,,,,,,,,,,,,,,,
1100,Valley View Avenue,Selma,Fresno County,California,United States,93662,"1100 Valley View Ave, Selma, CA 93662, USA",-119.6,36.56,,,,,,,,,,,,,,,,,,,,
8165,East Nebraska Avenue,Selma,Fresno County,California,United States,93662,"8165 E Nebraska Ave, Selma, CA 93662, USA",-119.64,36.56,,9610,,,,,,,,,,,,,,,,,,
1201,Golden State Boulevard,Selma,Fresno County,California,United States,93662,"1201 Golden State Blvd, Selma, CA 93662, USA",-119.61,36.56,,,,,,,,,,,,,,,,,,,,
1907,Thompson Avenue,Selma,Fresno County,California,United States,93662,"1907 Thompson Ave, Selma, CA 93662, USA",-119.62,36.56,,3932,,,,,,,,,,,,,,,,,,
14252,East Mountain View Avenue,Kingsburg,Fresno County,California,United States,93631,"14252 E Mountain View Ave, Kingsburg, CA 93631, USA",-119.53,36.55,,9721,,,,,,,,,,,,,,,,,,
2504,Tamarack Court,Kingsburg,Fresno County,California,United States,93631,"2504 Tamarack Ct, Kingsburg, CA 93631, USA",-119.54,36.52,,1400,,,,,,,,,,,,,,,,,,
1035,Simpson Street,Kingsburg,Fresno County,California,United States,93631,"1035 Simpson St, Kingsburg, CA 93631, USA",-119.55,36.51,,2223,,,,,,,,,,,,,,,,,,
651,Roosevelt Street,Kingsburg,Fresno County,California,United States,93631,"651 Roosevelt St, Kingsburg, CA 93631, USA",-119.56,36.51,,2334,,,,,,,,,,,,,,,,,,
2110,16th Avenue,Kingsburg,Fresno County,California,United States,93631,"2110 16th Ave, Kingsburg, CA 93631, USA",-119.55,36.52,,1627,,,,,,,,,,,,,,,,,,
14143,South Academy Avenue,Kingsburg,Fresno County,California,United States,93631,"14143 S Academy Ave, Kingsburg, CA 93631, USA",-119.56,36.53,,9228,,,,,,,,,,,,,,,,,,
12063,South Willow Avenue,Fresno,Fresno County,California,United States,93725,"12063 S Willow Ave, Fresno, CA 93725, USA",-119.73,36.56,,9642,,,,,,,,,,,,,,,,,,
6514,East Rose Avenue,Selma,Fresno County,California,United States,93662,"6514 E Rose Ave, Selma, CA 93662, USA",-119.67,36.57,,9618,,,,,,,,,,,,,,,,,,
,Unnamed Road,Selma,Fresno County,California,United States,93662,"Unnamed Road, Selma, CA 93662, USA",-119.65,36.51,,,,,,,,,,,,,,,,,,,,
14720,South Del Rey Avenue,Kingsburg,Fresno County,California,United States,93631,"14720 S Del Rey Ave, Kingsburg, CA 93631, USA",-119.59,36.52,,9506,,,,,,,,,,,,,,,,,,
3283,East Conejo Avenue,Fresno,Fresno County,California,United States,93725,"3283 E Conejo Ave, Fresno, CA 93725, USA",-119.73,36.52,,,,,,,,,,,,,,,,,,,,
1582,East Riverdale Avenue,Laton,Fresno County,California,United States,93242,"1582 E Riverdale Ave, Laton, CA 93242, USA",-119.77,36.44,,,,,,,,,,,,,,,,,,,,
18968,South Fowler Avenue,Laton,Fresno County,California,United States,93242,"18968 S Fowler Ave, Laton, CA 93242, USA",-119.69,36.46,,9793,,,,,,,,,,,,,,,,,,
6045,East Mount Whitney Avenue,Laton,Fresno County,California,United States,93242,"6045 E Mt Whitney Ave, Laton, CA 93242, USA",-119.69,36.43,,,,,,,,,,,,,,,,,,,,
13542,South Blythe Avenue,Caruthers,Fresno County,California,United States,93609,"13542 S Blythe Ave, Caruthers, CA 93609, USA",-119.87,36.54,,9459,,,,,,,,,,,,,,,,,,
12780,South Elm Avenue,Caruthers,Fresno County,California,United States,93609,"12780 S Elm Ave, Caruthers, CA 93609, USA",-119.79,36.55,,9711,,,,,,,,,,,,,,,,,,
15350,South Walnut Avenue,Caruthers,Fresno County,California,United States,93609,"15350 S Walnut Ave, Caruthers, CA 93609, USA",-119.81,36.51,,9607,,,,,,,,,,,,,,,,,,
2750,West Caruthers Avenue,Caruthers,Fresno County,California,United States,93609,"2750 W Caruthers Ave, Caruthers, CA 93609, USA",-119.84,36.54,,9542,,,,,,,,,,,,,,,,,,
13473,South Henderson Road,Caruthers,Fresno County,California,United States,93609,"13473 S Henderson Rd, Caruthers, CA 93609, USA",-119.83,36.54,,9532,,,,,,,,,,,,,,,,,,
6813,South Polk Avenue,Fresno,Fresno County,California,United States,93706,"6813 S Polk Ave, Fresno, CA 93706, USA",-119.89,36.64,,9442,,,,,,,,,,,,,,,,,,
,West Rose Avenue,Caruthers,Fresno County,California,United States,93609,"W Rose Ave, Caruthers, CA 93609, USA",-119.97,36.57,,,,,,,,,,,,,,,,,,,,
10744,South Hayes Avenue,Caruthers,Fresno County,California,United States,93609,"10744 S Hayes Ave, Caruthers, CA 93609, USA",-119.9,36.58,,9430,,,,,,,,,,,,,,,,,,
9277,South Walnut Avenue,Fresno,Fresno County,California,United States,93706,"9277 S Walnut Ave, Fresno, CA 93706, USA",-119.81,36.6,,9261,,,,,,,,,,,,,,,,,,
3795,West Harlan Avenue,Riverdale,Fresno County,California,United States,93656,"3795 W Harlan Ave, Riverdale, CA 93656, USA",-119.86,36.45,,,,,,,,,,,,,,,,,,,,
21098,South Valentine Avenue,Riverdale,Fresno County,California,United States,93656,"21098 S Valentine Ave, Riverdale, CA 93656, USA",-119.86,36.43,,,,,,,,,,,,,,,,,,,,
2813,West Whitney,Riverdale,Fresno County,California,United States,93656,"2813 W Whitney, Riverdale, CA 93656, USA",-119.85,36.43,,,,,,,,,,,,,,,,,,,,
9604,West Harlan Avenue,Riverdale,Fresno County,California,United States,93656,"9604 W Harlan Ave, Riverdale, CA 93656, USA",-119.97,36.44,,,,,,,,,,,,,,,,,,,,
15671,West Oakland Avenue,Five Points,Fresno County,California,United States,93624,"15671 W Oakland Ave, Five Points, CA 93624, USA",-120.08,36.34,,,,,,,,,,,,,,,,,,,,
,Lassen Avenue,Huron,Fresno County,California,United States,93234,"Lassen Ave, Huron, CA 93234, USA",-120.1,36.16,,,,,,,,,,,,,,,,,,,,
36050,O Street,Huron,Fresno County,California,United States,93234,"36050 O St, Huron, CA 93234, USA",-120.1,36.21,,,,,,,,,,,,,,,,,,,,
,South Siskiyou Avenue,Huron,Fresno County,California,United States,93234,"S Siskiyou Ave, Huron, CA 93234, USA",-120.09,36.19,,,,,,,,,,,,,,,,,,,,
,West Side Freeway,Coalinga,Fresno County,California,United States,93210,"I-5, Coalinga, CA 93210, USA",-120.27,36.29,,,,,,,,,,,,,,,,,,,,
,West Gale Avenue,Coalinga,Fresno County,California,United States,93210,"W Gale Ave, Coalinga, CA 93210, USA",-120.43,36.18,,,,,,,,,,,,,,,,,,,,
39445,South Monterey Avenue,Coalinga,Fresno County,California,United States,93210,"39445 S Monterey Ave, Coalinga, CA 93210, USA",-120.37,36.16,,,,,,,,,,,,,,,,,,,,
198,Coalinga Plaza,Coalinga,Fresno County,California,United States,93210,"198 Coalinga Plaza, Coalinga, CA 93210, USA",-120.36,36.14,,1902,,,,,,,,,,,,,,,,,,
499,Cambridge Avenue,Coalinga,Fresno County,California,United States,93210,"499 Cambridge Ave, Coalinga, CA 93210, USA",-120.38,36.15,,,,,,,,,,,,,,,,,,,,
950,West Elm Avenue,Coalinga,Fresno County,California,United States,93210,"950 W Elm Ave, Coalinga, CA 93210, USA",-120.37,36.13,,2522,,,,,,,,,,,,,,,,,,
464,Dartmouth Avenue,Coalinga,Fresno County,California,United States,93210,"464 Dartmouth Ave, Coalinga, CA 93210, USA",-120.37,36.15,,1225,,,,,,,,,,,,,,,,,,
3026,Caramele Court,Coalinga,Fresno County,California,United States,93210,"3026 Caramele Ct, Coalinga, CA 93210, USA",-120.35,36.16,,1663,,,,,,,,,,,,,,,,,,
359,Harrison Street,Coalinga,Fresno County,California,United States,93210,"359 Harrison St, Coalinga, CA 93210, USA",-120.35,36.14,,2228,,,,,,,,,,,,,,,,,,
156,Palomino Street,Coalinga,Fresno County,California,United States,93210,"156 Palomino St, Coalinga, CA 93210, USA",-120.36,36.13,,3608,,,,,,,,,,,,,,,,,,
,West Lincoln Avenue,Tranquillity,Fresno County,California,United States,93668,"W Lincoln Ave, Tranquillity, CA 93668, USA",-120.31,36.65,,,,,,,,,,,,,,,,,,,,
5766,Juanche Avenue,Tranquillity,Fresno County,California,United States,93668,"5766 Juanche Ave, Tranquillity, CA 93668, USA",-120.25,36.65,,,,,,,,,,,,,,,,,,,,
10025,South Placer Avenue,San Joaquin,Fresno County,California,United States,93660,"10025 S Placer Ave, San Joaquin, CA 93660, USA",-120.18,36.59,,9707,,,,,,,,,,,,,,,,,,
8543,South Seventh,San Joaquin,Fresno County,California,United States,93660,"8543 S Seventh, San Joaquin, CA 93660, USA",-120.19,36.61,,,,,,,,,,,,,,,,,,,,
22079,Karin Avenue,San Joaquin,Fresno County,California,United States,93660,"22079 Karin Ave, San Joaquin, CA 93660, USA",-120.19,36.6,,,,,,,,,,,,,,,,,,,,
,West Elkhorn Avenue,Cantua Creek,Fresno County,California,United States,93608,"W Elkhorn Ave, Cantua Creek, CA 93608, USA",-120.22,36.49,,,,,,,,,,,,,,,,,,,,
,Unnamed Road,Firebaugh,Fresno County,California,United States,93622,"Unnamed Road, Firebaugh, CA 93622, USA",-120.41,36.77,,,,,,,,,,,,,,,,,,,,
,West California Avenue,Firebaugh,Fresno County,California,United States,93622,"W California Ave, Firebaugh, CA 93622, USA",-120.67,36.72,,,,,,,,,,,,,,,,,,,,
,West Mountain View Avenue,Mendota,Fresno County,California,United States,93640,"W Mountain View Ave, Mendota, CA 93640, USA",-120.51,36.55,,,,,,,,,,,,,,,,,,,,
,Highway 33,Mendota,Fresno County,California,United States,93640,"CA-33, Mendota, CA 93640, USA",-120.39,36.78,,,,,,,,,,,,,,,,,,,,
906,Jenning Circle,Mendota,Fresno County,California,United States,93640,"906 Jenning Cir, Mendota, CA 93640, USA",-120.38,36.75,,2521,,,,,,,,,,,,,,,,,,
431,Lolita Street,Mendota,Fresno County,California,United States,93640,"431 Lolita St, Mendota, CA 93640, USA",-120.38,36.76,,2416,,,,,,,,,,,,,,,,,,
753,Father Craig Street,Firebaugh,Fresno County,California,United States,93622,"753 Father Craig St, Firebaugh, CA 93622, USA",-120.46,36.87,,2727,,,,,,,,,,,,,,,,,,
1948,13th Street,Firebaugh,Fresno County,California,United States,93622,"1948 13th St, Firebaugh, CA 93622, USA",-120.45,36.86,,,,,,,,,,,,,,,,,,,,
3400,Birch Drive,Firebaugh,Fresno County,California,United States,93622,"3400 Birch Dr, Firebaugh, CA 93622, USA",-120.44,36.84,,4431,,,,,,,,,,,,,,,,,,
1830,Corregidor Avenue,Firebaugh,Fresno County,California,United States,93622,"1830 Corregidor Ave, Firebaugh, CA 93622, USA",-120.45,36.85,,,,,,,,,,,,,,,,,,,,
,1st Lift Canal,Firebaugh,Fresno County,California,United States,93622,"1st Lift Canal, Firebaugh, CA 93622, USA",-120.51,36.86,,,,,,,,,,,,,,,,,,,,
42346,Shain Avenue,Dos Palos,Fresno County,California,United States,93620,"42346 Shain Ave, Dos Palos, CA 93620, USA",-120.55,36.97,,,,,,,,,,,,,,,,,,,,
50483,West Herndon Avenue,Firebaugh,Fresno County,California,United States,93622,"50483 W Herndon Ave, Firebaugh, CA 93622, USA",-120.69,36.84,,,,,,,,,,,,,,,,,,,,
1483,Avenue 396,Kingsburg,Tulare County,California,United States,93631,"1483 Ave 396, Kingsburg, CA 93631, USA",-119.54,36.51,,9132,,,,,,,,,,,,,,,,,,
434,8th Street,Orland,Glenn County,California,United States,95963,"434 8th St, Orland, CA 95963, USA",-122.2,39.75,,1210,,,,,,,,,,,,,,,,,,
233,East Shasta Street,Orland,Glenn County,California,United States,95963,"233 E Shasta St, Orland, CA 95963, USA",-122.18,39.75,,1515,,,,,,,,,,,,,,,,,,
4335,County Road N,Orland,Glenn County,California,United States,95963,"4335 County Rd N, Orland, CA 95963, USA",-122.16,39.74,,9166,,,,,,,,,,,,,,,,,,
89,South Street,Orland,Glenn County,California,United States,95963,"89 South St, Orland, CA 95963, USA",-122.19,39.74,,,,,,,,,,,,,,,,,,,,
